slug,name,type,description,address,lat,lng,neighborhood,city,country,opening_hours,best_arrival_time,price_level,avg_price_eur,dress_code,music_types,crowd_types,vibe_tags,reservation_required,walk_in_ok,vip_available,guestlist_required,phone,instagram,website,capacity,partner_status,promoted,quality_score,best_nights,active
shari-vari-playhouse,Shari Vari Playhouse,club,Centrally-located commercial-house club — pretty crowd and bottle service,"Via di Torre Argentina, 78, 00186 Roma RM",41.8956,12.4778,Centro,rome,IT,"{""thu"":[{""open"":""23:30"",""close"":""04:30""}],""fri"":[{""open"":""23:30"",""close"":""04:30""}],""sat"":[{""open"":""23:30"",""close"":""04:30""}]}",00:30,3,70,elegant,house|hip_hop|commercial,international|young|vip,trendy|vip_friendly|wild,false,false,true,true,+39 06 6880 6936,@sharivariplayhouse,https://www.sharivariplayhouse.com,400,pro,true,0.9,thu|fri|sat,true
spazio-novecento,Spazio Novecento,club,EUR superclub for big rooms and international DJs,"Piazza Guglielmo Marconi, 26, 00144 Roma RM",41.8327,12.4715,EUR,rome,IT,"{""fri"":[{""open"":""23:30"",""close"":""05:00""}],""sat"":[{""open"":""23:30"",""close"":""05:00""}]}",01:00,3,60,elegant,house|techno,international|young|vip,wild|vip_friendly|house_music,false,false,true,true,+39 333 442 0007,@spazio_novecento,https://www.spazionovecento.com,900,pro,false,0.88,fri|sat,true
goa-club-roma,Goa Club,club,Iconic underground techno temple — the Roman home for serious DJs,"Via Giuseppe Libetta, 13, 00154 Roma RM",41.873,12.5083,Ostiense,rome,IT,"{""thu"":[{""open"":""23:30"",""close"":""05:00""}],""fri"":[{""open"":""23:30"",""close"":""06:00""}],""sat"":[{""open"":""23:30"",""close"":""06:00""}]}",01:00,3,40,casual|streetwear,techno|house,young|locals|international,wild|techno|underground,false,false,false,false,+39 06 574 8277,@goaclubroma,https://www.goaclub.com,600,none,false,0.93,fri|sat,true
room-26-roma,Room 26,club,Glossy EUR club with VIP tables and a hip-hop / commercial mix,"Piazza Guglielmo Marconi, 31, 00144 Roma RM",41.8327,12.471,EUR,rome,IT,"{""fri"":[{""open"":""23:30"",""close"":""05:00""}],""sat"":[{""open"":""23:30"",""close"":""05:00""}]}",01:00,3,55,elegant,house|hip_hop|latin,young|international|vip,wild|vip_friendly|celebrity,false,false,true,true,+39 393 940 0102,@room26roma,https://www.room26.it,800,premium,true,0.87,fri|sat,true
lanificio-159,Lanificio 159,club,Multi-room post-industrial club for techno + electronic,"Via di Pietralata, 159A, 00158 Roma RM",41.9118,12.551,Pietralata,rome,IT,"{""fri"":[{""open"":""23:30"",""close"":""05:00""}],""sat"":[{""open"":""23:30"",""close"":""05:00""}]}",01:30,2,30,casual|streetwear,techno|electronic,locals|young|alternative,underground|techno|wild,false,true,false,false,+39 333 478 0227,@lanificio159,https://lanificio.com,600,none,false,0.88,fri|sat,true
akab-club,Akab Club,club,Testaccio club institution — hip-hop / R&B / house across two floors,"Via Monte Testaccio, 69, 00153 Roma RM",41.8767,12.4757,Testaccio,rome,IT,"{""thu"":[{""open"":""23:00"",""close"":""05:00""}],""fri"":[{""open"":""23:00"",""close"":""05:00""}],""sat"":[{""open"":""23:00"",""close"":""05:00""}]}",00:30,2,35,casual,hip_hop|rnb|house,young|international,wild|social|lively,false,true,false,false,+39 06 5725 0585,@akabclubroma,https://akabclub.com,500,none,false,0.85,fri|sat,true
caruso-cafe-de-oriente,Caruso Café de Oriente,club,Roman home of salsa & bachata — live nights and dance floor,"Via di Monte Testaccio, 36, 00153 Roma RM",41.8767,12.4757,Testaccio,rome,IT,"{""thu"":[{""open"":""22:30"",""close"":""04:30""}],""fri"":[{""open"":""22:30"",""close"":""04:30""}],""sat"":[{""open"":""22:30"",""close"":""04:30""}]}",23:30,2,30,casual,latin|salsa|bachata,latin|international|young,latin|lively|social|salsa,false,true,false,false,+39 06 574 5019,@carusocafedeoriente,,300,none,false,0.86,thu|fri|sat,true
larcobaleno-rome,L'Alibi,club,Storied Testaccio LGBTQ+ club — three rooftop levels,"Via di Monte Testaccio, 39-44, 00153 Roma RM",41.8767,12.4757,Testaccio,rome,IT,"{""fri"":[{""open"":""23:00"",""close"":""05:00""}],""sat"":[{""open"":""23:00"",""close"":""05:00""}]}",00:30,2,30,casual,house|pop,young|lgbtq|international,lgbtq_friendly|wild|social,false,true,false,false,+39 06 5743 4448,@lalibiroma,https://www.lalibi.it,400,none,false,0.84,fri|sat,true
frida-club-roma,Frida Music,club,"Latin / reggaeton focus, San Lorenzo crowd — kizomba on Sunday","Via dei Volsci, 34, 00185 Roma RM",41.8961,12.5106,San Lorenzo,rome,IT,"{""thu"":[{""open"":""23:00"",""close"":""05:00""}],""fri"":[{""open"":""23:00"",""close"":""05:00""}],""sat"":[{""open"":""23:00"",""close"":""05:00""}]}",00:30,2,30,casual,latin|reggaeton|kizomba,young|students|international,latin|wild|social,false,true,false,false,+39 333 200 0250,@fridamusicroma,,350,none,false,0.83,fri|sat,true
imago-hotel-hassler,Imàgo — Hotel Hassler,rooftop,Michelin-starred rooftop above the Spanish Steps,"Piazza Trinità dei Monti, 6, 00187 Roma RM",41.9059,12.483,Centro,rome,IT,"{""mon"":[{""open"":""19:00"",""close"":""22:30""}],""tue"":[{""open"":""19:00"",""close"":""22:30""}],""wed"":[{""open"":""19:00"",""close"":""22:30""}],""thu"":[{""open"":""19:00"",""close"":""22:30""}],""fri"":[{""open"":""19:00"",""close"":""22:30""}],""sat"":[{""open"":""19:00"",""close"":""22:30""}],""sun"":[{""open"":""19:00"",""close"":""22:30""}]}",19:30,4,180,elegant,lounge,date_friendly|celebration|couples,luxury|rooftop_view|elegant|michelin,true,false,true,false,+39 06 6993 4726,@hotelhassler,https://www.hotelhasslerroma.com/dining/imago,40,premium,true,0.97,fri|sat,true
aroma-restaurant-palazzo-manfredi,Aroma — Palazzo Manfredi Rooftop,rooftop,Michelin-star fine dining with the Colosseum filling the window,"Via Labicana, 125, 00184 Roma RM",41.8893,12.4944,Celio,rome,IT,"{""mon"":[{""open"":""19:30"",""close"":""23:00""}],""tue"":[{""open"":""19:30"",""close"":""23:00""}],""wed"":[{""open"":""19:30"",""close"":""23:00""}],""thu"":[{""open"":""19:30"",""close"":""23:00""}],""fri"":[{""open"":""19:30"",""close"":""23:00""}],""sat"":[{""open"":""19:30"",""close"":""23:00""}],""sun"":[{""open"":""19:30"",""close"":""23:00""}]}",20:00,4,180,elegant,lounge,date_friendly|celebration|couples,luxury|romantic|rooftop_view|michelin,true,false,true,false,+39 06 9761 5109,@aroma_palazzomanfredi,https://www.aromarestaurant.it,40,premium,true,0.97,fri|sat,true
settimo-roman-cuisine-terrace,Settimo Roman Cuisine & Terrace,rooftop,Sofitel Rome's seventh-floor restaurant + cocktail bar,"Via Lombardia, 47, 00187 Roma RM",41.9075,12.4905,Centro,rome,IT,"{""mon"":[{""open"":""18:00"",""close"":""01:00""}],""tue"":[{""open"":""18:00"",""close"":""01:00""}],""wed"":[{""open"":""18:00"",""close"":""01:00""}],""thu"":[{""open"":""18:00"",""close"":""01:00""}],""fri"":[{""open"":""18:00"",""close"":""01:00""}],""sat"":[{""open"":""18:00"",""close"":""01:00""}],""sun"":[{""open"":""18:00"",""close"":""01:00""}]}",19:30,4,120,elegant,lounge,date_friendly|international,luxury|rooftop_view|romantic,true,false,false,false,+39 06 4781 7122,@sofitelroma,https://www.sofitel-roma.it,80,none,false,0.93,fri|sat,true
divinity-lounge-terrace,Divinity Terrace,rooftop,Pantheon-area rooftop bar over Piazza Pallaro,"Largo del Pallaro, 8, 00186 Roma RM",41.8961,12.4738,Centro,rome,IT,"{""tue"":[{""open"":""18:00"",""close"":""01:30""}],""wed"":[{""open"":""18:00"",""close"":""01:30""}],""thu"":[{""open"":""18:00"",""close"":""01:30""}],""fri"":[{""open"":""18:00"",""close"":""01:30""}],""sat"":[{""open"":""18:00"",""close"":""01:30""}],""sun"":[{""open"":""18:00"",""close"":""01:30""}]}",20:00,3,70,casual,lounge|house,date_friendly|international,rooftop_view|trendy|romantic,true,false,false,false,+39 06 6892 0577,,https://www.divinityterrace.com,120,none,false,0.89,thu|fri|sat,true
terrazza-borromini,Terrazza Borromini,rooftop,Eitch Borromini hotel rooftop with 360° views — Piazza Navona below,"Via di Santa Maria dell'Anima, 30, 00186 Roma RM",41.8995,12.4716,Centro,rome,IT,"{""mon"":[{""open"":""18:00"",""close"":""00:30""}],""tue"":[{""open"":""18:00"",""close"":""00:30""}],""wed"":[{""open"":""18:00"",""close"":""00:30""}],""thu"":[{""open"":""18:00"",""close"":""00:30""}],""fri"":[{""open"":""18:00"",""close"":""00:30""}],""sat"":[{""open"":""18:00"",""close"":""00:30""}],""sun"":[{""open"":""18:00"",""close"":""00:30""}]}",19:30,4,90,elegant,lounge,date_friendly|celebration,luxury|rooftop_view|romantic,true,false,true,false,+39 06 6889 2774,@terrazzaborromini,https://www.eitchborromini.com,100,pro,true,0.94,fri|sat,true
hotel-eitch-borromini-rooftop,Hotel Eitch Borromini Rooftop Bar,rooftop,Casual rooftop bar at the Eitch Borromini — entry without dinner,"Via di Santa Maria dell'Anima, 30, 00186 Roma RM",41.8995,12.4716,Centro,rome,IT,"{""mon"":[{""open"":""18:00"",""close"":""00:30""}],""tue"":[{""open"":""18:00"",""close"":""00:30""}],""wed"":[{""open"":""18:00"",""close"":""00:30""}],""thu"":[{""open"":""18:00"",""close"":""00:30""}],""fri"":[{""open"":""18:00"",""close"":""00:30""}],""sat"":[{""open"":""18:00"",""close"":""00:30""}],""sun"":[{""open"":""18:00"",""close"":""00:30""}]}",19:00,3,65,casual,lounge,date_friendly|tourists|international,rooftop_view|elegant|romantic,true,true,false,false,+39 06 6889 2774,@hoteleitchborromini,https://www.eitchborromini.com,80,none,false,0.91,fri|sat,true
